id,no_suivi,no_rapport,raport_type,date_envoi,crc,titre_raport,note,type_organisme,lat,long,ville
5,,jf00131118.html,Rapport d'observations définitives,15/01/2013,CRC Aquitaine Poitou-Charentes,Centre régional des oeuvres universitaires et scolaires - Centre régional des oeuvres universitaires et scolaires (CROUS) de Poitiers -  (Vienne),-44,Centre régional des oeuvres universitaires et scolaires,48.208174299999996,16.3738189,Vienna
8,,jf00131365.html,Rapport d'observations définitives,22/01/2013,CRC Aquitaine Poitou-Charentes,Commune - Gradignan -  (Gironde),-95,Commune,44.77426699999999,-0.618945,Gradignan
13,33021069,jf00131775.html,Rapport d'observations définitives,05/02/2013,CRC Aquitaine Poitou-Charentes,Commune - Le Bouscat -  (Gironde),-100,Commune,44.865164,-0.59944,Le Bouscat
19,2006-2011,jf00131891.html,Rapport d'observations définitives,28/01/2013,CRC Basse-Normandie Haute-Normandie,Commune - Fecamp -  (Seine-Maritime),46,Commune,49.755601,0.380774,Fécamp
23,,jf00131945.html,Rapport d'observations définitives,22/01/2013,CRC Centre Limousin,Commune - Bourges - Bourges (Cher),-286,Commune,47.0623686,2.3687855,Bourges Airport
35,2013-203,jf00132218.html,Rapport d'observations définitives,31/01/2013,CRC Pays de la Loire,Commune - Saint-Gilles-Croix-de-Vie -  (Vendée),9,Commune,46.69777699999999,-1.9445290000000002,Saint-Gilles-Croix-de-Vie
41,5,jf00132436.html,Rapport d'observations définitives,23/01/2013,CRC Centre Limousin,Commune - Selles-Saint-Denis - Selles-Saint-Denis (Loir-et-Cher),28,Commune,47.4628125,1.8772966,Route de Selles Saint-Denis
47,203-72,jf00132547.html,Rapport d'observations définitives,06/02/2013,CRC Guadeloupe-Guyane-Martinique,Commune - Commune de Capesterre-Belle-Eau - Capesterre-Belle-Eau (Guadeloupe),-21,Commune,16.038700400000003,-61.577848100000004,Capesterre Belle Eau
54,,jf00132834.html,Rapport d'observations définitives,15/03/2013,CRC Aquitaine Poitou-Charentes,Commune - Saintes -  (Charente-Maritime),72,Commune,45.744175,-0.633389,Saintes
57,,jf00132963.html,Rapport d'observations définitives,27/02/2013,CRC Aquitaine Poitou-Charentes,Commune - Bruges -  (Gironde),-92,Commune,44.88179299999999,-0.6127469999999999,Bruges
67,564,jf00133195.html,Rapport d'observations définitives,07/03/2013,CRC Provence-Alpes-Côte d'Azur,"Commune - Roquebrune-Cap-Martin
 - Roquebrune-Cap-Martin (Alpes-Maritimes)",16,Commune,43.76396629999999,7.487927699999998,City Stade de Roquebrune Cap-Martin
74,2013-11,jf00133278.html,Rapport d'observations définitives,13/03/2013,CRC Bretagne,Commune - Plouguerneau - Plouguerneau (Finistère),77,Commune,48.6324902,-4.4115005,Rue de Plouguerneau
88,,jf00133507.html,Rapport d'observations définitives,18/04/2013,CRC Aquitaine Poitou-Charentes,Commune - Agen -  (Lot-et-Garonne),25,Commune,44.203142,0.616363,Agen
91,2013-196,jf00133516.html,Rapport d'observations définitives,25/02/2013,CRC Guadeloupe-Guyane-Martinique,Commune - Commune de Rémire-Montjoly - Rémire-Montjoly (Guyane),-87,Commune,4.912014,-52.275169,Montjoly
103,,jf00133718.html,Rapport d'observations définitives,06/05/2013,CRC Aquitaine Poitou-Charentes,Commune - Lagord -  (Charente-Maritime),-29,Commune,46.190717,-1.1540028999999998,Lagord
110,2012-207,jf00133927.html,Rapport d'observations définitives,26/04/2013,CRC Pays de la Loire,Commune - La Turballe -  (Loire-Atlantique),11,Commune,47.348471999999994,-2.511759,La Turballe
153,,jf00134553.html,Rapport d'observations définitives,13/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Cestas -  (Gironde),-115,Commune,44.741163,-0.6843549999999999,Cestas
164,,jf00134665.html,Rapport d'observations définitives,26/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Seurin-sur-l'Isle -  (Gironde),5,Commune,45.014103999999996,-0.0015019999999999999,Saint-Seurin-sur-l'Isle
167,,jf00134670.html,Rapport d'observations définitives,27/06/2013,CRC Aquitaine Poitou-Charentes,Région - Région Aquitaine - Bordeaux (Gironde),28,Région,44.837789,-0.57918,Bordeaux
171,,jf00134706.html,Rapport d'observations définitives,27/06/2013,CRC Aquitaine Poitou-Charentes,Commune - Bon-Encontre -  (Lot-et-Garonne),10,Commune,44.186116,0.668438,Bon-Encontre
226,,jf00135255.html,Rapport d'observations définitives,22/07/2013,CRC Aquitaine Poitou-Charentes,Commune - Bayonne -  (Pyrénées-Atlantiques),118,Commune,43.492948999999996,-1.474841,Bayonne
231,,jf00135327.html,Rapport d'observations définitives,07/08/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Michel-de-Rieufret -  (Gironde),10,Commune,44.622145,-0.43360600000000005,Saint-Michel-de-Rieufret
234,D131803,jf00135457.html,Rapport d'observations définitives,22/07/2013,CRC Auvergne Rhône-Alpes,Commune - Chaudes-Aigues - CHAUDES-AIGUES (Cantal),34,Commune,44.855129,3.003932,Chaudes-Aigues
235,,jf00135489.html,Rapport d'observations définitives,21/08/2013,CRC Aquitaine Poitou-Charentes,Commune - Oloron Sainte-Marie -  (Pyrénées-Atlantiques),23,Commune,43.194413,-0.6052919999999999,Oloron-Sainte-Marie
240,2013-31,jf00135785.html,Rapport d'observations définitives,23/07/2013,CRC Bretagne,Commune - Commune de Saint-Aubin d'Aubigné - Saint-Aubin d'Aubigne (Ille-et-Vilaine),-106,Commune,48.263171,-1.606188,Saint-Aubin-d'Aubigné
247,,jf00135882.html,Rapport d'observations définitives,06/09/2013,CRC Aquitaine Poitou-Charentes,Commune - Navarrenx -  (Pyrénées-Atlantiques),40,Commune,43.322255,-0.761008,Navarrenx
