,no_suivi,no_rapport,type_rapport,date_envoi,crc,titre,note,type_etablissement,lat,long,ville,departement
0,,jf00130898.html,Rapport d'observations définitives,08/01/2013,CRC Aquitaine Poitou-Charentes,"Association - Association Petite Enfance, Enfance et Famille (APEEF) - Bordeaux (Gironde)",-94,Association,44.8572445351,-0.57369678116,Bordeaux,Gironde
1,033 090 972,jf00130900.html,Rapport d'observations définitives,09/01/2013,CRC Aquitaine Poitou-Charentes,Centre de gestion de la fonction publique territoriale - Centre de Gestion de la Fonction Publique Territoriale de la Gironde - Bordeaux (Gironde),-117,Centre de gestion de la fonction publique territoriale,44.8572445351,-0.57369678116,Bordeaux,Gironde
2,,jf00131109.html,Rapport d'observations définitives,11/01/2013,CRC Aquitaine Poitou-Charentes,Communauté de communes - Communauté de communes Coeur du Bocage - Bressuire (Deux-Sèvres),65,Communauté de communes,46.8545755683,-0.479375922286,Bressuire,Deux-Sèvres
3,,jf00131130.html,Rapport d'observations définitives,15/01/2013,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Centre hospitalier d'Agen - Agen (Lot-et-Garonne),-253,Etablissement hospitalier public,44.202813910399996,0.625583928763,Agen,Lot-et-Garonne
4,,jf00131365.html,Rapport d'observations définitives,22/01/2013,CRC Aquitaine Poitou-Charentes,Commune - Gradignan -  (Gironde),-95,Commune,44.77426699999999,-0.618945,Gradignan,Gironde
5,12-0298 R,jf00131547.html,Rapport d'observations définitives,21/01/2013,CRC Ile-de-France,Société d'économie mixte - Société d'aménagement et de développement des villes du Val-de-Marne (SADEV 94) - Vincennes (Val-de-Marne),-552,Société d'économie mixte,48.847373204499995,2.43798650741,Vincennes,Val-de-Marne
6,,jf00131754.html,Rapport d'observations définitives,05/02/2013,CRC Aquitaine Poitou-Charentes,Groupement d'intérêt public - Maison Départementale des Personnes Handicapées (MDPH) de la Gironde - Bordeaux (Gironde),-38,Groupement d'intérêt public,44.8572445351,-0.57369678116,Bordeaux,Gironde
7,33021069,jf00131775.html,Rapport d'observations définitives,05/02/2013,CRC Aquitaine Poitou-Charentes,Commune - Le Bouscat -  (Gironde),-100,Commune,44.865164,-0.59944,Le Bouscat,Gironde
8,,jf00131834.html,Rapport d'observations définitives,05/02/2013,CRC Aquitaine Poitou-Charentes,Centre communal d'action sociale - Centre Intercommunal d'Action Sociale du Marsan - Mont-de-Marsan (Landes),-132,Centre communal d'action sociale,43.899361404,-0.490722577455,Mont-de-Marsan,Landes
9,2006-2011,jf00131891.html,Rapport d'observations définitives,28/01/2013,CRC Basse-Normandie Haute-Normandie,Commune - Fecamp -  (Seine-Maritime),46,Commune,49.755601,0.380774,Fécamp,Seine-Maritime
